Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,Cafo Population,Cafo Subtype,AEU,# Enforcement Actions within 5 years,# Violations within 5 years,...30
"Amarante, Patrick P & Ann","28336 West Bambauer Road, Gustine, CA 95322",Martins View Jersey Dairy #2,"28336 West Bambauer Road, Gustine, CA 95322",37.27629,-121.00006,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00067,null,06/29/2007,06/29/2007,null,10/02/2018,null,null,A,1,757,Heifers (non dairy affiliated),null,0,0,NA
Amedco Investing Inc.,"11665 North Clements Road, Linden, CA 95236",Clements Ranch,"11665 North Clements Road, Linden, CA 95236",38.08547,-121.08459,Animal Feeding Facility,0251,San Joaquin,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5B39NC00264,null,null,08/31/2018,null,12/05/2021,null,null,null,null,8700,Non-layers (other than liquid manure system),70,0,0,NA
"Amen, Grant & June","Po Box 230, Cottonwood, CA 96022",Grant Amen Feedlot,"7100 Milky Way, Redding, CA 96002",40.49385,-122.32832,Animal Feeding Facility,null,Shasta,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5A45NC00048,null,null,04/10/2019,null,null,null,null,null,null,75,Cattle or cow/calf pairs,99,0,0,NA
American Beef Packers Inc,"13677 Yorba Avenue, Chino, CA 91710",American Beef Packers,"7777 Schaefer Avenue, Ontario, CA 91761",34.00437,-117.63346,Animal Feeding Facility,0241,San Bernardino,8,ANIWSTCOWS,Active,Enrollee - NPDES,R8-2018-0001,8 366022001,CAG018001,null,02/02/2015,null,03/15/2024,null,Minor,null,null,605,Cattle or cow/calf pairs,null,2,2,NA
"Amerine, Reagan, Ronald, Gary Trust","26897 Carter Road, Escalon, CA 95320",LKT Ranch,"11170 Hwy 108, Jamestown, CA 95327",37.84614,-120.58066,Animal Feeding Facility,0253,Tuolumne,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5B55NC00028,null,null,07/20/2018,null,12/05/2021,null,null,null,null,70387,Turkeys,1056,0,0,NA
"Amerine, Ronald","28897 Carter Road, Escalon, CA 95320",Amerine Farms,"28897 Carter Road, Escalon, CA 95320",37.88808,-120.95691,Animal Feeding Facility,0253,San Joaquin,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5B39NC00244,null,null,12/20/2018,null,12/05/2021,null,null,null,null,95000,Turkeys,233,1,0,NA
"Andrade, Joseph M","10221 Avenue 21 1/2, Chowchilla, CA 93610",Andrade Dairy,"10221 Avenue 21 1/2, Chowchilla, CA 93610",37.06177361,-120.36113,Animal Feeding Facility,0241,Madera,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B20NC00045,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Heifers (non dairy affiliated),null,0,0,NA
Andrees Mayar Mosiempoor,"2307 Oakdale Road, Modesto, CA 95355",Mayar Feedlot,"15739 Grangeville Boulevard, Hanford, CA 93230",36.341535,-119.74073,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C16NC00077,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Mature dairy cattle,null,0,2,NA
Andrew Groppetti,"P O Box 782 P O Box 782, San Joaquin, CA 93660",El Dorado Ranches Dairy,"23025 West American Avenue, San Joaquin, CA 93660",36.660695,-120.207552,Animal Feeding Facility,0241,Fresno,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C10NC00114,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Mature dairy cattle,null,1,1,NA
Andrew and Geanette Revocable Truste,"13266 7th Avenue, Hanford, CA 93230",Sunshine Dairy Heifers,"12700 7th Avenue, Hanford, CA 93230",36.287508,-119.583317,Animal Feeding Facility,0241,Kings,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5C16NC00072,null,null,05/30/2019,null,05/30/2025,null,null,null,null,950,Heifers (non dairy affiliated),694,0,0,NA
"Anker, Case","5387 Kent Avenue, Hanford, CA 93230",Poplar Lane Dairy,"5387 Kent Avenue, Hanford, CA 93230",36.224962,-119.554076,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D165046N01,null,null,06/29/2007,null,10/02/2018,null,null,null,null,2593,Mature dairy cattle,null,0,0,NA
"Anker, Edward C","Po Box 153, Helm, CA 93627",Shady Acres Dairy #2,"15391 West Elkhorn Avenue, Helm, CA 93627",36.486573,-120.074222,Animal Feeding Facility,0241,Fresno,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C10NC00030,null,null,06/29/2007,null,10/02/2018,null,null,A,1,3500,Mature dairy cattle,null,0,0,NA
Anthony J & Jacoba P Dragt 2002 Trust,"35960 Road 100, Visalia, CA 93291",Rainimade Dairy #2,"34308 Road 124, Visalia, CA 93292",36.41346,-119.29542,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00170,null,null,06/29/2007,null,10/02/2018,null,null,A,1,505,Mature dairy cattle,null,0,0,NA
Anthony J & Jacoba P Dragt 2002 Trust,"35960 Road 100, Visalia, CA 93291",Milk Maid Dairy,"35826 Road 100, Visalia, CA 93291",36.44041,-119.34877,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00040,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1794,Mature dairy cattle,null,0,0,NA
Anthony J & Jacoba P Dragt 2002 Trust,"35960 Road 100, Visalia, CA 93291",Homestead Dairy,"10178 Ave 352, Visalia, CA 93291",36.429321,-119.339937,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545047001,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1285,Mature dairy cattle,null,0,0,NA
Antone L Gomes & Sons Dairy,"519 East Stuhr Road, Newman, CA 95360",Antone L Gomes and Sons Dairy,"519 East Stuhr Road, Newman, CA 95360",37.33302355,-121.0188837,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00173,null,null,06/29/2007,null,10/02/2018,null,null,A,1,655,Mature dairy cattle,null,0,0,NA
"Arcos, Leo","7819 Crane Road, Oakdale, CA 95361",R & R Ranch,"6654 Langworth Road, Oakdale, CA 95361",37.73433,-120.89447,Animal Feeding Facility,0211,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B50NC00404,null,null,04/03/2019,null,null,null,null,null,null,1580,Calf feedlots,553,0,0,NA
Ardis Land Holdings,"5220 Oakdale Waterford Highway, Oakdale, CA 95361",Mello Ranch,"744 McEwen Road, Waterford, CA 95386",37.62801,-120.80659,Animal Feeding Facility,0211,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B50NC00390,null,null,04/10/2019,null,null,null,null,null,null,5400,Calf feedlots,1190,0,0,NA
"Areias, Dennis and Kirsten","13315 Baker Road, Los Banos, CA 93635",Den-K Heifer Corrals,"13621 West Henry Miller Road, Los Banos, CA 93635",37.09836,-120.73737,Animal Feeding Facility,0211,Merced,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B24NC00400,null,null,04/11/2019,null,null,null,null,null,null,136,Heifers (non dairy affiliated),99.3,0,0,NA
"Areias, Dennis and Kirsten","13315 Baker Road, Los Banos, CA 93635",Den-K Holsteins Dairy,"15475 West Henry Miller Road, Los Banos, CA 93635",37.09887,-120.77056,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00189,null,null,06/29/2007,null,10/02/2018,null,null,A,1,100,Mature dairy cattle,null,0,0,NA
"Areias, James A","15688 West Henry Miller Road, Los Banos, CA 93635",Banos Dairy,"4667 Avenue 23 1/2, Chowchilla, CA 93610",37.091744,-120.460478,Animal Feeding Facility,0241,Madera,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C20NC00012,null,null,06/29/2007,null,10/02/2018,null,null,A,1,760,Mature dairy cattle,null,0,1,NA
"Areias, Joe & Rosemary","Po Box 96, Denair, CA 95316",J & R Areias Heifers,"17904 East Clausen Road, Turlock, CA 95380",37.45661,-120.81023,Animal Feeding Facility,0211,Merced,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B24NC00404,null,null,04/10/2019,null,null,null,null,null,null,0,Heifers (non dairy affiliated),0,0,0,NA
Arjj,"Po Box 1077, Tipton, CA 93272",Scheenstra Dairy,"16800 Road 96 Road, Tipton, CA 93272",36.09414,-119.34672,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545084002,null,null,06/29/2007,null,10/02/2018,null,null,A,1,4300,Mature dairy cattle,null,0,0,NA
Art Oostdam,"1710 North Warren Road, San Jacinto, CA 92582",Oostdam Dairy Heifer Ranch,"1655 North Ramona Boulevard, San Jacinto, CA 92582",33.813062,-116.987734,Animal Feeding Facility,0241,Riverside,8,ANIWSTCOWS,Active,Enrollee - NPDES,R8-2018-0001,8 335709001,CAG018001,null,12/01/2015,null,03/15/2024,null,Minor,null,null,300,Heifers (non dairy affiliated),null,0,0,NA
Art Silva Dairy #2,"Po Box 885, Riverbank, CA 95367",Art Silva Dairy,"5201 Milnes Road, Modesto, CA 95357",37.68241882,-120.9002227,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00146,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1090,Mature dairy cattle,null,0,0,NA
Art Silva Dairy #2,"Po Box 885, Riverbank, CA 95367",Art Silva Dairy #2,"3701 Langworth Road, Modesto, CA 95357",37.6922,-120.89621,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B34NC00022,null,null,06/29/2007,null,10/02/2018,null,null,A,1,850,Mature dairy cattle,null,0,1,NA
Art Silva Dairy #3,"Po Box 885, Riverbank, CA 95367",Art Silva Dairy #3,"3130 De Witt Road, Modesto, CA 95357",37.68315375,-120.9076846,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00105,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Heifers (non dairy affiliated),null,1,1,NA
Arvance Ranch Inc,"19487 West Whitesbridge, Kerman, CA 93630",Arvance Ranch Inc,"19487 West Whitesbridge, Kerman, CA 93630",36.73446,-120.14077,Animal Feeding Facility,null,Fresno,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5B10NC00090,null,null,08/21/2018,null,12/05/2021,null,null,null,null,95000,Turkeys,1425,0,0,NA
"Assali, Dominic","1441  East Monte Vista  Avenue, Ceres, CA 95307",Double D Taylor,"2506 East Taylor Road, Ceres, CA 95307",37.53293395,-120.9484489,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00039,null,null,06/29/2007,null,10/02/2018,null,null,A,1,280,Heifers (non dairy affiliated),null,0,0,NA
"Assali, Dominic","1441  East Monte Vista  Avenue, Ceres, CA 95307",Double D Dairy #3,"6001 Zeering Road, Ceres, CA 95307",37.529039,-120.916745,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00044,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Mature dairy cattle,null,1,2,NA
"Astiasuain, Daniel M","22563 East Jefferson Avenue, Reedley, CA 93654",Astiasuain Dairy,"22654 East Jefferson Avenue, Reedley, CA 93654",36.654637,-119.382321,Animal Feeding Facility,0241,Fresno,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C10NC00043,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Heifers (non dairy affiliated),null,0,0,NA
"Atsma, Andrew","5515 Avenue 120, Corcoran, CA 93212",Williams Family Dairy #2,"5339 Avenue 120, Corcoran, CA 93212",36.00542,-119.44911,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D165057001,null,null,06/29/2007,null,10/02/2018,null,null,null,1,1135,Mature dairy cattle,null,0,0,NA
"Atsma, George","Po Box 609, Tipton, CA 93272",GTA Dairy,"16197 Avenue 172, Tulare, CA 93274",36.0989,-119.21,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00189,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1400,Mature dairy cattle,null,0,1,NA
"August Ranch, A Partnership dba Gemperle Family Farms","10218 Lander Avenue, Turlock, CA 95380",August Ranch,"18524 August Road, Hilmar, CA 95324",37.41868,-120.82271,Animal Feeding Facility,0252,Merced,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5B24NC00351,null,null,07/20/2018,null,12/05/2021,null,null,null,null,1100000,Layers (other than liquid manure system),4400,0,0,NA
"Aukeman Investments, LP","28349 Los Angeles Street, Shafter, CA 93263",Aukeman Dairy,"28349 Los Angeles Street, Shafter, CA 93263",35.491671,-119.373197,Animal Feeding Facility,0241,Kern,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D155084001,null,null,06/29/2007,null,10/02/2018,null,null,null,null,2732,Mature dairy cattle,null,1,1,NA
"Avalon Dairy Farms, LLC","2370 Grand Avenue, Long Beach, CA 90815",Avalon Dairy Farms,"27125 Pond Road, Wasco, CA 93280",35.711482,-119.420572,Animal Feeding Facility,0241,Kern,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D155093001,null,null,06/29/2007,null,10/02/2018,null,null,null,null,3450,Mature dairy cattle,null,1,1,NA
"Avila, Arnoldo & Maria","8178 Paradise Road, Modesto, CA 95358",A P Avila and Sons Dairy,"8178 Paradise Road, Modesto, CA 95358",37.61454,-121.14887,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00152,null,null,06/29/2007,null,10/02/2018,null,null,A,1,585,Mature dairy cattle,null,0,0,NA
"Avila, Connie","2642 Tuolumne Road, Ceres, CA 95307",Jose Avila,"2618 East Tuolumne Road, Ceres, CA 95307",37.51402,-120.94661,Animal Feeding Facility,null,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B50NC00443,null,null,10/25/2019,null,10/24/2024,null,null,null,null,210,Calf feedlots,153.3,0,0,NA
"Avila, Filomena","13644 Avenue 18 1/2, Chowchilla, CA 93610",Avila Family Dairy,"13644 Avenue 18 1/2, Chowchilla, CA 93610",37.017878,-120.298197,Animal Feeding Facility,0241,Madera,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C205017N01,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1420,Mature dairy cattle,null,0,0,NA
"Avila, Jose","2642 Tuolumne Road, Ceres, CA 95307",Jose Avila,"2618 East Tuolumne Road, Ceres, CA 95307",37.51402,-120.94661,Animal Feeding Facility,null,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B50NC00443,null,null,10/25/2019,null,10/24/2024,null,null,null,null,210,Calf feedlots,153.3,0,0,NA
"Avila, Joseph","30297 Road 56, Visalia, CA 93291",Delta View #2,"30297 Road 56, Visalia, CA 93291",36.3386477,-119.4484567,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00207,null,null,06/29/2007,null,10/02/2018,null,null,A,1,375,Heifers (non dairy affiliated),null,1,1,NA
"Avila, M Luis","9240 19 1/2 Avenue, Lemoore, CA 93245",Midnight Farms,"9240 19 1/2 Avenue, Lemoore, CA 93245",36.31341,-119.80911,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D165079001,null,null,06/29/2007,null,10/02/2018,null,null,null,null,465,Heifers (non dairy affiliated),null,0,2,NA
"Avila, Manuel","1501 South Fourth Street, Los Banos, CA 93635",Manuel Avila Dairy,"18785 Ward Road, Los Banos, CA 93635",37.01533,-120.82318,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00199,null,null,06/29/2007,null,10/02/2018,null,null,A,1,250,Heifers (non dairy affiliated),null,2,1,NA
"Avis, Joe","4400 Point Pleasant, Elk Grove, CA 95624",Joe Avis Dairy,"4400 Point Pleasant Road, Elk Grove, CA 95757",38.33931,-121.44862,Animal Feeding Facility,0241,Sacramento,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5A345100001,null,null,10/23/1981,null,10/02/2018,0,null,C,1,0,Heifers (non dairy affiliated),null,1,1,NA
"Azevedo, Aldevino","536 North Prairie Flower Road, Turlock, CA 95380",A & G Azevedo Dairy,"536 North Prairie Flower Road, Turlock, CA 95380",37.49828,-120.93095,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00273,null,null,06/29/2007,null,10/02/2018,null,null,A,1,245,Mature dairy cattle,null,0,0,NA
"Azevedo, Alvarino & Maria","5454 West Keyes Road, Modesto, CA 95358",A & M Azevedo Dairy,"5454 West Keyes Road, Modesto, CA 95358",37.5495,-121.08958,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00130,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Mature dairy cattle,null,0,0,NA
"Azevedo, Antonio & Alexandrina","2025 West El Nido Road, El Nido, CA 95317",Antonio Azevedo Dairy #1,"2025 West El Nido Road, El Nido, CA 95317",37.13136,-120.53302,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00052,null,null,06/29/2007,null,10/02/2018,null,null,A,1,4020,Mature dairy cattle,null,1,1,NA
"Azevedo, Antonio & Alexandrina","2025 West El Nido Road, El Nido, CA 95317",Antonio Azevedo Heifer Ranch,"511 West Roosevelt Road, El Nido, CA 95317",37.14031,-120.50573,Animal Feeding Facility,0211,Merced,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B24NC00387,null,null,04/10/2019,null,null,null,null,null,null,850,Heifers (non dairy affiliated),729,0,0,NA
"Azevedo, Antonio & Alexandrina","2025 West El Nido Road, El Nido, CA 95317",Antonio Azevedo Dairy #4,"1257 West Roosevelt Road, El Nido, CA 95317",37.14228,-120.51367,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00061,null,null,06/29/2007,null,10/02/2018,null,null,A,1,431,Mature dairy cattle,null,0,0,NA
"Azevedo, Antonio & Alexandrina","2025 West El Nido Road, El Nido, CA 95317",Antonio Azevedo Dairy #2,"7618 South Hwy 59, El Nido, CA 95317",37.09131,-120.49311,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00056,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1200,Mature dairy cattle,null,0,0,NA
"Azevedo, Eugenio","Po Box 811, Atwater, CA 95301",Eugenio Azevedo Dairy,"2222 South Healy Road, Merced, CA 95341",37.24577,-120.4342,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00221,null,null,06/29/2007,null,10/02/2018,null,null,A,1,910,Mature dairy cattle,null,1,0,NA
"Azevedo, Frank II","30711 Pfitzer Road, Gustine, CA 95322",Frank Azevedo Dairy,"30711 Pfitzer Road, Gustine, CA 95322",37.20958,-121.04765,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00098,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1095,Mature dairy cattle,null,0,0,NA
"Azevedo, John","1337 Magnolia Avenue, Patterson, CA 95363","Azevedo Dairy, Inc.","1343 Magnolia Avenue, Patterson, CA 95363",37.51380444,-121.1293585,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00203,null,null,06/29/2007,null,10/02/2018,null,null,A,1,510,Mature dairy cattle,null,0,0,NA
"Azevedo, Luis","7131 Faith Home Road, Ceres, CA 95307",Azevedo Farms,"3737 Weir Avenue, Livingston, CA 95334",37.34133,-120.79886,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00176,null,null,06/29/2007,null,10/02/2018,null,null,A,1,300,Mature dairy cattle,null,0,0,NA
"Azevedo, Manuel & Maria","2800 White Road, Turlock, CA 95380",A & C Machado Dairy,"825 Ruble Road, Crows Landing, CA 95313",37.48587191,-121.0047806,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00059,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1305,Mature dairy cattle,null,0,0,NA
"Azevedo, Manuel & Maria","2800 White Road, Turlock, CA 95380",Manuel Azevedo Dairy,"2800 White Road, Turlock, CA 95380",37.44171194,-120.8857389,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00288,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1075,Mature dairy cattle,null,0,0,NA
"Azevedo, Tiberio & Rosa","21480 West August Avenue, Hilmar, CA 95324",Azevedo Dairy,"21480 August Avenue, Hilmar, CA 95324",37.418948,-120.876844,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00111,null,null,06/29/2007,null,10/02/2018,null,null,A,1,921,Mature dairy cattle,null,0,1,NA
"Azevedo, Tony","22368 Second Avenue, Stevinson, CA 95374",Azevedo Ranch,"22368 Second Avenue, Stevinson, CA 95374",37.33496,-120.89625,Animal Feeding Facility,0241,Merced,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B24NC00424,null,null,04/10/2019,null,null,null,null,null,null,700,Heifers (non dairy affiliated),511,0,0,NA
B & A Partnership,"5510 West Davis Avenue, Riverdale, CA 93656",Fontes Dairy Farms-Dairy #1,"5512 West Davis Avenue, Riverdale, CA 93656",36.474695,-119.8939525,Animal Feeding Facility,0241,Fresno,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C10NC00094,null,null,06/29/2007,null,10/02/2018,null,null,A,1,686,Mature dairy cattle,null,0,0,NA
"B. V. Dairy, LLC","P. O. Box 11810, Bakersfield, CA 93311",B. V. Dairy,"18904 Bear Mountain Boulevard, Bakersfield, CA 93311",35.212295,-119.212421,Animal Feeding Facility,0241,Kern,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D155066001,null,null,06/29/2007,null,10/02/2018,null,null,null,null,4030,Mature dairy cattle,null,1,1,NA
"Bailey, Robert & Randy","17499 Westside Boulevard, Livingston, CA 95334",Bailey Ranch,"17499 Westside Boulevard, Livingston, CA 95334",37.35842,-120.80458,Animal Feeding Facility,null,Merced,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5B24NC00411,null,null,08/31/2018,null,12/05/2021,null,null,null,null,80000,Non-layers (other than liquid manure system),192,1,0,NA
"Baker, David L. Trustee","Po Box 9, El Nido, CA 95317",County Line Cattle,"2002 West Hwy 152, Dos Palos, CA 93620",37.05504,-120.55507,Animal Feeding Facility,0211,Merced,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B24NC00389,null,null,04/03/2019,null,null,null,null,null,null,3800,Heifers (non dairy affiliated),2774,0,0,NA
"Bakker, David","1410 North Noyes Court, Visalia, CA 93291",Back Road Dairy,"22000 Road 28, Tulare, CA 93274",36.18954,-119.511184,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00182,null,null,06/29/2007,null,10/02/2018,null,null,A,1,810,Mature dairy cattle,null,0,0,NA
"Bakker, David","1410 North Noyes Court, Visalia, CA 93291",Sunset Dairy,"29049 Road 68, Visalia, CA 93277",36.31729,-119.42342,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00020,null,null,06/29/2007,null,10/02/2018,null,null,A,1,555,Mature dairy cattle,null,0,0,NA
